name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-07-05,27,23.9,25.7,29.4,23.9,26.3,18.9,66.6,0,0,0,rain,0,0,18.7,25.9,92.3,1014.2,17.8,10,331.7,28.7,9,30,2022-07-05T05:46:05,2022-07-05T21:11:23,0.21,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-06,33.6,23,27.2,34.6,23,28.5,20.4,67.7,0,0,0,,0,0,20.9,24,9.5,1014.6,19.1,10,281.5,24.5,9,60,2022-07-06T05:46:45,2022-07-06T21:11:02,0.25,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-07,29.6,25.9,27.1,31.6,25.9,28.7,20.1,66.2,0.003,100,4.17,rain,0,0,38.9,18.3,84.4,1013.9,26.4,10,322.9,28,9,30,2022-07-07T05:47:27,2022-07-07T21:10:38,0.25,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-08,32.7,22.7,27.4,30.5,22.7,27.3,14.1,47.7,0,0,0,,0,0,42.5,31.7,49.5,1017.1,10,10,337.2,29.2,9,10,2022-07-08T05:48:10,2022-07-08T21:10:13,0.32,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-09,26.7,22,25.2,27.6,22,25.3,16.9,60.2,0,0,0,,0,0,26.6,16.4,139.9,1019.2,21.9,10,316.6,27.5,9,10,2022-07-09T05:48:55,2022-07-09T21:09:45,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-10,26.9,21.9,25.1,28.1,21.9,25.2,17.4,62.2,0,0,0,,0,0,23,12.9,160.1,1016.1,21.4,10,331,28.4,9,10,2022-07-10T05:49:41,2022-07-10T21:09:15,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-07-11,27,22.9,25.2,29.1,22.9,25.6,18.4,66.2,0,0,0,,0,0,23.8,9.5,174.4,1016.1,16.1,10,323.7,28,10,30,2022-07-11T05:50:28,2022-07-11T21:08:43,0.42,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-12,27,23.9,25.9,29.1,23.9,26.6,20.6,72.5,0,0,0,,0,0,23.4,11.2,189.9,1018.6,42.8,10,257.7,22.2,8,10,2022-07-12T05:51:17,2022-07-12T21:08:08,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-13,28.6,23.9,26.9,30.3,23.9,28,19.9,65.8,0,0,0,,0,0,17.6,22.3,124.7,1020.3,22.7,10,316.4,27.2,9,10,2022-07-13T05:52:07,2022-07-13T21:07:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-14,28,24.9,26.7,31.6,24.9,28.3,20.3,68.4,0,0,0,,0,0,18,11.3,200.1,1018.7,14.5,10,306.2,26.4,8,10,2022-07-14T05:52:59,2022-07-14T21:06:52,0.52,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-15,27,24,26,29.6,24,27.3,19.9,69.3,0,0,0,,0,0,24.8,11.1,151,1014.6,38.9,10,325,28.3,9,10,2022-07-15T05:53:52,2022-07-15T21:06:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
