name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-08-28,26.9,22.9,25.2,29.1,22.9,25.4,20.5,75.2,0.586,100,4.17,rain,0,0,19.8,13,122,1012.5,50.4,10,262.8,22.6,10,30,2022-08-28T06:42:05,2022-08-28T20:08:11,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122"
"Genoa,Italy",2022-08-29,26.9,23.6,25.3,29.5,23.6,25.8,20.9,76.5,0,0,0,,0,0,18.7,16.4,130.5,1015.9,39.4,10,249.6,21.6,7,30,2022-08-29T06:43:14,2022-08-29T20:06:25,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-30,25.9,16.9,24.2,25.9,16.9,24.2,20.6,80.9,10.039,100,12.5,rain,0,0,15.8,16.4,66.6,1016.6,61.8,10.4,88.7,7.7,5,60,2022-08-30T06:44:24,2022-08-30T20:04:39,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-31,26.6,21.9,24.4,26.6,21.9,24.4,20.3,78.3,0.3,100,12.5,rain,0,0,23,14.7,102.8,1013.1,52.5,10,204.6,17.6,8,30,2022-08-31T06:45:33,2022-08-31T20:02:52,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-01,29.7,23.7,25.5,30.4,23.7,25.9,19,67.7,0.044,100,8.33,rain,0,0,37.1,25.7,42,1011,62.4,10,242.8,21,9,30,2022-09-01T06:46:43,2022-09-01T20:01:05,0.18,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-02,27.6,20.9,24,28.2,20.9,24,17.8,68.5,0.259,100,4.17,rain,0,0,19.8,18.3,45,1013.6,53.9,10,158.5,13.6,8,30,2022-09-02T06:47:52,2022-09-02T19:59:17,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-03,25.7,21.7,23.1,25.7,21.7,23.1,18.8,76.8,13.073,100,8.33,rain,0,0,20.2,31.4,83.8,1014.1,64.5,9.7,90.9,7.7,4,10,2022-09-03T06:49:02,2022-09-03T19:57:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-04,25.9,20.9,23.8,25.9,20.9,23.8,18.4,71.9,0,0,0,,0,0,23.8,20.5,48.1,1017.4,48.7,10,228.7,19.5,8,10,2022-09-04T06:50:11,2022-09-04T19:55:40,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122"
"Genoa,Italy",2022-09-05,26.9,22.9,25.1,28.3,22.9,25.4,18.5,67.1,0.02,100,4.17,rain,0,0,18,12.9,53.1,1020.5,15.3,10,218.3,18.6,7,10,2022-09-05T06:51:21,2022-09-05T19:53:51,0.32,Rain,Clear conditions throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-06,26.8,21.9,24.8,28.2,21.9,25,17.6,64.4,0,0,0,rain,0,0,16.6,9.4,146.5,1018.1,23.4,10,233.4,20.1,8,10,2022-09-06T06:52:30,2022-09-06T19:52:01,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-07,26.9,23.9,25.4,29.3,23.9,25.6,21,76.7,0,0,0,rain,0,0,23,14.7,135,1014.9,50.3,10,127.5,10.9,4,30,2022-09-07T06:53:40,2022-09-07T19:50:11,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-08,25.9,25.6,25.8,25.9,25.6,25.8,21.9,79,0,0,0,rain,0,0,38.2,27.6,159.3,1010.8,49.6,10,148.4,12.9,6,30,2022-09-08T06:54:49,2022-09-08T19:48:21,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-09,26.8,22.6,25.3,28.4,22.6,25.4,18.8,67.8,0.003,100,4.17,rain,0,0,33.5,31.5,94,1010.6,26.6,10,201.9,17.3,7,10,2022-09-09T06:55:59,2022-09-09T19:46:30,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-10,25.9,21.6,24.4,25.9,21.6,24.4,16.1,60.1,0,0,0,,0,0,23,18.3,63.9,1012.1,29.1,10,195.8,16.8,6,10,2022-09-10T06:57:08,2022-09-10T19:44:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-11,26,20.9,23.7,26,20.9,23.7,17.7,69.2,0,0,0,rain,0,0,20.2,16.6,61.7,1013.5,12.3,10,236.5,20.4,8,10,2022-09-11T06:58:18,2022-09-11T19:42:47,0.53,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-09-12,24.9,20.6,23.3,24.9,20.6,23.3,17.9,71.5,0,0,0,,0,0,20.5,14.7,77.5,1014.6,17.3,10,238.8,20.5,8,10,2022-09-12T06:59:27,2022-09-12T19:40:56,0.56,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-13,24.9,20,23.3,24.9,20,23.3,16.8,67.3,0.003,100,4.17,rain,0,0,27.4,14.7,154.3,1013.6,29.7,10,204.8,17.8,8,10,2022-09-13T07:00:37,2022-09-13T19:39:04,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-14,25.9,23.9,24.9,25.9,23.9,24.9,20.8,78.4,0.981,100,4.17,rain,0,0,44.6,42.1,136.4,1011.7,74,10,95.5,8.3,4,30,2022-09-14T07:01:47,2022-09-14T19:37:12,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-15,25.9,24.8,25.7,25.9,24.8,25.7,22.2,81.5,0,0,0,rain,0,0,47.5,33.3,140.8,1007,62.8,10,214.5,18.5,7,30,2022-09-15T07:02:56,2022-09-15T19:35:19,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-16,26.9,21.7,24.6,28.3,21.7,24.7,19.4,73,0,0,0,,0,0,33.1,27.6,115.5,1003.6,38.5,10,204.7,17.6,8,30,2022-09-16T07:04:06,2022-09-16T19:33:27,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-17,25.6,18.9,22.9,25.6,18.9,22.9,6.2,39.3,0,0,0,rain,0,0,66.6,37,14.5,1004.6,37.3,10,220.9,19,8,10,2022-09-17T07:05:16,2022-09-17T19:31:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-18,22.9,17.9,20.6,22.9,17.9,20.6,6.1,41.4,0,0,0,,0,0,28.4,22.1,87.6,1013.8,12.5,10,236,20.4,8,10,2022-09-18T07:06:26,2022-09-18T19:29:42,0.76,Clear,Clear conditions throughout the day.,clear-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-09-19,23.9,20.9,22.7,23.9,20.9,22.7,15.4,63.8,0,0,0,rain,0,0,25.2,18.3,178.2,1011.8,44.5,10,216.5,18.9,7,10,2022-09-19T07:07:36,2022-09-19T19:27:49,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-09-20,26.6,18.5,22.1,26.6,18.5,22.1,6.1,36.5,0,0,0,,0,0,24.5,27.6,39.7,1014.2,8.9,10,213.3,18.3,7,10,2022-09-20T07:08:46,2022-09-20T19:25:57,0.82,Clear,Clear conditions throughout the day.,clear-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-21,23.6,16.4,20.3,23.6,16.4,20.3,9.1,48.7,0,0,0,rain,0,0,33.8,27.7,20.5,1017.5,40.5,10,192.8,16.7,8,10,2022-09-21T07:09:56,2022-09-21T19:24:04,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-22,21.8,15.6,19,21.8,15.6,19,9.4,54,0,0,0,,0,0,24.8,27.7,44.2,1019.1,42,10,215.2,18.5,8,10,2022-09-22T07:11:06,2022-09-22T19:22:11,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-23,21.5,15.5,19,21.5,15.5,19,10.4,57.7,0,0,0,,0,0,29.2,18.3,90.9,1018.7,42.6,10,188.7,16.3,7,10,2022-09-23T07:12:17,2022-09-23T19:20:19,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-24,19.9,15.8,17.6,19.9,15.8,17.6,13.4,77.4,46.626,100,8.33,rain,0,0,37.1,25.7,55.8,1014.8,79.8,8.7,26,2.2,1,10,2022-09-24T07:13:27,2022-09-24T19:18:26,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-25,21.9,15.9,18.2,21.9,15.9,18.2,12.9,71.3,0.26,100,8.33,rain,0,0,38.9,24.1,39.9,1010.6,51.1,10,54.4,4.6,3,10,2022-09-25T07:14:38,2022-09-25T19:16:34,0,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-09-26,21.9,16.6,19.6,21.9,16.6,19.6,13.8,68.9,0.213,100,4.17,rain,0,0,24.8,22.2,102.9,1006.2,56.2,10,187,16.2,8,10,2022-09-26T07:15:49,2022-09-26T19:14:42,0.02,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-27,21.8,16.7,19.6,21.8,16.7,19.6,13.6,68.3,0,0,0,,0,0,30.6,29,105.9,999.5,37,10,179.7,15.5,6,10,2022-09-27T07:17:00,2022-09-27T19:12:50,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-28,21.7,8.7,18.5,21.7,5.9,18.3,13.8,74.2,0,0,0,rain,0,0,34.2,36.8,124.6,999.4,62.3,11.2,151.5,13.1,5,10,2022-09-28T07:18:12,2022-09-28T19:10:58,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-29,20.9,16.9,19.5,20.9,16.9,19.5,14.5,72.8,0.604,100,8.33,rain,0,0,42.5,27.7,149.3,997.5,52.6,10,107.3,9.2,3,10,2022-09-29T07:19:23,2022-09-29T19:09:07,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-09-30,20.9,14,18,20.9,14,18,13.9,77.3,36.237,100,16.67,rain,0,0,31,35,108.6,1005.6,71.7,9.9,47,4.1,2,10,2022-09-30T07:20:35,2022-09-30T19:07:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-01,19.7,14.7,17.4,19.7,14.7,17.4,12.1,71.2,0,0,0,rain,0,0,30.2,24.1,75.9,1016,26.9,10,172.3,14.8,6,10,2022-10-01T07:21:47,2022-10-01T19:05:25,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-02,21.9,16,19,21.9,16,19,15.1,78.1,0,0,0,rain,0,0,49,31.4,124.3,1019.5,49.2,10,153.5,13.4,7,10,2022-10-02T07:22:59,2022-10-02T19:03:34,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-10-03,22.6,16.6,19.6,22.6,16.6,19.6,15.3,76.6,0.017,100,4.17,rain,0,0,16.2,11.2,75.1,1017.6,23.3,10,191.3,16.7,7,10,2022-10-03T07:24:11,2022-10-03T19:01:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-04,22.7,17.9,20,22.7,17.9,20,14.6,71.7,0,0,0,,0,0,15.5,16.5,68.4,1020.3,9.7,10,154.4,13.4,6,10,2022-10-04T07:25:24,2022-10-04T18:59:54,0.3,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-05,21.9,17,19.8,21.9,17,19.8,15.9,78.2,0.035,100,4.17,rain,0,0,14.8,11.1,64.7,1025.4,13.9,10,125.7,10.8,4,10,2022-10-05T07:26:37,2022-10-05T18:58:05,0.34,Rain,Clear conditions throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-06,21.9,16,19.5,21.9,16,19.5,15.2,76,0.017,100,4.17,rain,0,0,13,9.5,238.3,1026.5,27.3,10,153.6,13.1,6,10,2022-10-06T07:27:50,2022-10-06T18:56:16,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-07,25.6,18.6,21,25.6,18.6,21,15,69.1,0.017,100,4.17,rain,0,0,18,27.7,49.3,1023.3,5.4,9.7,170.5,14.7,6,10,2022-10-07T07:29:03,2022-10-07T18:54:28,0.41,Rain,Clear conditions throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-08,20.8,17,19.2,20.8,17,19.2,15,76.7,0.052,100,4.17,rain,0,0,18.4,11.1,127.6,1019.3,28.2,9.6,115.4,9.9,5,10,2022-10-08T07:30:17,2022-10-08T18:52:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-09,21.9,17.9,19.9,21.9,17.9,19.9,15.5,75.9,1.024,100,12.5,rain,0,0,19.1,18.2,37.7,1018.9,60.6,10,78.2,6.8,3,10,2022-10-09T07:31:31,2022-10-09T18:50:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-10-10,21.6,16.9,18.6,21.6,16.9,18.6,14.6,78.1,5.223,100,12.5,rain,0,0,33.1,27.6,33.4,1019.1,63.2,9.7,54.4,4.6,3,10,2022-10-10T07:32:45,2022-10-10T18:49:06,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-11,24.6,16.7,19.3,24.6,16.7,19.3,13.3,68.4,0.178,100,4.17,rain,0,0,24.1,27.6,34.6,1019.7,34,10,161.3,14.1,6,10,2022-10-11T07:34:00,2022-10-11T18:47:20,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-12,22.7,16.7,19.8,22.7,16.7,19.8,13.2,65.7,0.017,100,4.17,rain,0,0,23.8,25.8,36.8,1020.2,58.9,9.9,131.8,11.6,5,10,2022-10-12T07:35:15,2022-10-12T18:45:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-13,23.6,16.7,19.7,23.6,16.7,19.7,13.9,69.5,0.02,100,8.33,rain,0,0,22.3,27.6,30.7,1019.3,16.2,9.8,119.9,10.4,5,10,2022-10-13T07:36:30,2022-10-13T18:43:51,0.61,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-14,21.7,16.9,19.2,21.7,16.9,19.2,13.9,71.4,0.4,100,4.17,rain,0,0,14.8,16.5,51,1016.2,36.8,10,123.5,10.5,5,10,2022-10-14T07:37:45,2022-10-14T18:42:07,0.65,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-15,20.9,18.6,19.9,20.9,18.6,19.9,16,78.6,0,0,0,rain,0,0,24.5,18.3,110.1,1015.9,73.5,10,122.5,10.6,5,10,2022-10-15T07:39:01,2022-10-15T18:40:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-16,21.9,18.9,20.2,21.9,18.9,20.2,16.2,78.1,0,0,0,rain,0,0,13.7,12.9,60.3,1021.8,48.8,10,110.1,9.3,6,10,2022-10-16T07:40:17,2022-10-16T18:38:41,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-10-17,22.8,19,20.6,22.8,19,20.6,15.4,72.3,0.017,100,4.17,rain,0,0,14,22.2,21.4,1027,16.2,10,139.3,12,5,10,2022-10-17T07:41:33,2022-10-17T18:37:00,0.75,Rain,Clear conditions throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-18,21.8,12.7,19,21.8,12.7,19,15.4,80.3,0.035,100,4.17,rain,0,0,14,9.3,61.5,1026.4,30.1,9.9,144.5,12.6,5,10,2022-10-18T07:42:50,2022-10-18T18:35:20,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-19,20.9,15.7,18.7,20.9,15.7,18.7,15.3,80.8,0,0,0,,0,0,13.3,9.3,315.9,1021.6,55.8,10,149.5,12.9,5,10,2022-10-19T07:44:07,2022-10-19T18:33:40,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-20,23.6,17,20,23.6,17,20,15.3,74.3,0.195,100,8.33,rain,0,0,16.6,22.2,53.4,1020.1,34.4,9.9,99.5,8.7,4,10,2022-10-20T07:45:25,2022-10-20T18:32:02,0.84,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-21,21.9,18.9,20.6,21.9,18.9,20.6,17.8,84.5,0.069,100,4.17,rain,0,0,48.2,42.1,128.3,1018.1,73.4,9.9,27.2,2.3,2,10,2022-10-21T07:46:42,2022-10-21T18:30:24,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-22,21.9,20.9,21.6,21.9,20.9,21.6,20.5,93.6,2.575,100,12.5,rain,0,0,55.4,46.4,144.3,1016.7,85.5,7.1,86,7.6,5,30,2022-10-22T07:48:00,2022-10-22T18:28:47,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-23,22,12.2,21.4,22,12.2,21.4,20.2,90.8,1.952,100,8.33,rain,0,0,42.5,27.6,134.6,1020.7,82,9,75.7,6.6,4,10,2022-10-23T07:49:19,2022-10-23T18:27:12,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-10-24,21.9,20.9,21.6,21.9,20.9,21.6,19.6,88.4,0.579,100,12.5,rain,0,0,41.8,42.2,127.2,1018.6,68.3,8.6,106.5,9.2,5,10,2022-10-24T07:50:37,2022-10-24T18:25:38,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-10-25,21.9,20.8,21.3,21.9,20.8,21.3,20.4,94.5,0.086,100,4.17,rain,0,0,32,27.7,136.1,1018.2,66.5,9.4,65.8,5.6,4,10,2022-10-25T07:51:56,2022-10-25T18:24:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-26,21.8,18.9,20.7,21.8,18.9,20.7,18.8,89.3,0.017,100,4.17,rain,0,0,18,25.7,132.5,1021.5,45.1,9.6,65.7,5.7,3,10,2022-10-26T07:53:15,2022-10-26T18:22:32,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-27,23.6,17.7,20.4,23.6,17.7,20.4,15.5,73.8,0.017,100,4.17,rain,0,0,17.3,20.5,39.9,1025.7,23.4,9.9,123.7,10.7,5,10,2022-10-27T07:54:35,2022-10-27T18:21:02,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-10-28,24.6,19.7,21.5,24.6,19.7,21.5,14.9,66.7,0,0,0,,0,0,23.8,24,32.3,1025.9,14.3,9.5,106.9,9.2,4,10,2022-10-28T07:55:54,2022-10-28T18:19:32,0.11,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-29,22.9,19,21.2,22.9,19,21.2,13.8,63.4,0.017,100,4.17,rain,0,0,16.2,20.4,31.8,1024.4,0.1,10,130.9,11.3,5,10,2022-10-29T07:57:14,2022-10-29T18:18:04,0.14,Rain,Clear conditions throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-10-30,22,16,18.8,22,16,18.8,13.1,70.1,0,0,0,,0,0,13,7.5,51,1022.3,57.3,10,115.5,10.5,5,10,2022-10-30T06:58:34,2022-10-30T17:16:37,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-10-31,20.9,14.7,17.9,20.9,14.7,17.9,14.5,80.5,0,0,0,,0,0,12.6,7.7,110.3,1022.3,47.8,10,119.3,10.2,5,10,2022-10-31T06:59:55,2022-10-31T17:15:12,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-11-01,19.9,11.6,17.7,19.9,11.6,17.7,15.2,85.5,0.361,100,8.33,rain,0,0,26.3,24,102.1,1022.5,52.3,9.3,40,3.5,2,10,2022-11-01T07:01:15,2022-11-01T17:13:48,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-11-02,20.6,11.7,17.8,20.6,11.7,17.8,13.9,78.1,0.569,100,12.5,rain,0,0,20.5,22.1,45.5,1022.2,54.2,10,34.4,3,1,10,2022-11-02T07:02:36,2022-11-02T17:12:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-11-03,19.7,14.8,17.3,19.7,14.8,17.3,13.2,77.5,2.026,100,12.5,rain,0,0,74.9,25.8,68.9,1017.3,55.7,9.7,54.6,4.7,4,10,2022-11-03T07:03:57,2022-11-03T17:11:04,0.32,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-11-04,19.7,13.9,16.4,19.7,13.9,16.4,10.9,70.9,1.376,100,8.33,rain,0,0,74.2,22.4,46.1,1003.6,61.1,9.9,130.6,11.3,5,10,2022-11-04T07:05:17,2022-11-04T17:09:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-11-05,19.7,12,15.6,19.7,12,15.6,4,48.6,0.778,100,8.33,rain,0,0,37.4,25.9,38.8,1010.3,24.1,10,123.3,10.7,5,10,2022-11-05T07:06:38,2022-11-05T17:08:27,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-11-06,19.9,13,15.7,19.9,13,15.7,3.1,43.6,1.367,100,8.33,rain,0,0,18.4,24,45.8,1016.2,15.3,10,110.9,9.6,4,10,2022-11-06T07:08:00,2022-11-06T17:07:11,0.43,Rain,Clear conditions throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
